path,on_pad,best_overlap,pad_frame_count,dog_frame_count,total_frames_checked,best_confidence
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-21-52.mp4,True,0.489,8,20,102,0.828
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-22-40.mp4,False,0.0,0,5,84,0.506
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-38-57.mp4,True,0.091,1,12,43,0.85
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-39-14.mp4,False,0.029,0,9,48,0.793
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-41-11.mp4,False,0.0,0,3,32,0.791
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-42-15.mp4,False,0.029,0,5,36,0.683
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-42-59.mp4,True,0.206,5,9,36,0.776
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-44-18.mp4,False,0.0,0,6,32,0.869
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-44-30.mp4,True,0.108,2,4,36,0.869
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-52-08.mp4,True,0.136,2,5,40,0.862
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-53-22.mp4,True,0.098,2,5,36,0.765
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-08-03.mp4,True,0.614,18,26,60,0.867
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-08-33.mp4,False,0.0,0,10,36,0.75
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-21-24.mp4,True,0.089,2,5,40,0.796
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-45-01.mp4,False,0.0,0,1,38,0.459
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-45-17.mp4,True,0.175,4,25,64,0.862
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-48-41.mp4,False,0.006,0,25,108,0.8
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-53-13.mp4,False,0.0,0,3,48,0.588
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-54-28.mp4,False,0.004,0,25,120,0.888
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-55-22.mp4,False,0.0,0,18,48,0.791
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-56-03.mp4,False,0.044,0,12,62,0.701
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-56-31.mp4,True,0.069,14,37,68,0.769
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-57-05.mp4,True,0.088,10,16,128,0.707
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-02-02.mp4,False,0.0,0,3,32,0.584
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-02-22.mp4,False,0.042,0,15,64,0.754
