path,dog_detected,best_confidence,dog_frame_count,total_frames_checked
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-52-54.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-55-42.mp4,FALSE,0,0,76
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-04-46.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-05-36.mp4,TRUE,0.88,16,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-11-00.mp4,FALSE,0,0,88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-12-27.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-13-11.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-34-16.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-38-25.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-38-38.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-40-53.mp4,FALSE,0,0,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-48-32.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-48-55.mp4,TRUE,0.508,2,100
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-51-06.mp4,FALSE,0,0,88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-51-52.mp4,FALSE,0,0,31
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-52-10.mp4,FALSE,0,0,124
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-53-11.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-53-25.mp4,FALSE,0,0,120
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-55-00.mp4,FALSE,0,0,72
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-55-37.mp4,FALSE,0,0,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-55-58.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-56-37.mp4,FALSE,0,0,56
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-57-04.mp4,FALSE,0,0,32
